,colour2,colour1,sub_category,category_id,type,user_id,brand,buyer,month,price_id,price,date
66094,0,0,6,10,8,3523,0,0,6,1891,209.81,2021-07-21
66095,0,0,6,10,8,3523,0,0,6,1891,209.81,2021-07-21
66096,0,2,5,12,8,3979,0,0,6,6927,314.93,2021-07-21
66097,0,0,5,12,8,3771,2,0,6,12822,410.82,2021-07-21
66098,0,0,5,12,8,4006,1,0,6,2904,97.12,2021-07-21
66099,0,0,3,11,8,3382,1,0,6,10099,114.93,2021-07-21
66100,0,3,3,11,8,1823,1,0,6,12224,849.18,2021-07-21
66101,0,0,5,12,11,2786,1,0,6,10898,102.6,2021-07-21
66102,2,0,5,12,8,2673,4,0,6,1458,132.85,2021-07-21
66103,0,0,6,10,1,3748,0,0,6,12830,266.99,2021-07-21
66104,0,2,6,10,8,4089,0,0,6,11683,188.7,2021-07-21
66106,0,0,6,10,11,3981,1,0,6,3757,124.52,2021-07-21
66108,0,0,0,9,8,4131,1,0,6,11068,657.4,2021-07-21
66110,0,0,0,9,8,4131,1,0,6,11068,498.49,2021-07-21
66112,0,0,5,12,8,3851,2,0,6,5065,68.36,2021-07-21
66113,0,2,3,11,8,3751,0,0,6,12838,266.99,2021-07-21
66114,0,3,3,11,8,2529,0,0,6,12812,145.07,2021-07-21
66115,0,0,3,11,8,3860,0,0,6,12812,105.34,2021-07-21
66116,0,0,3,11,27,3768,0,0,6,12838,191.64,2021-07-21
66117,0,0,6,10,8,3592,1,0,6,9367,390.27,2021-07-21
66118,0,0,3,11,18,4041,0,0,6,9367,321.78,2021-07-21
66119,0,0,3,11,8,224,1,0,6,9367,636.85,2021-07-21
66120,0,2,0,9,11,4054,0,0,6,12835,151.92,2021-07-21
66121,0,0,6,10,8,4028,0,0,6,4640,1082.05,2021-07-21
66122,0,0,6,10,8,3924,2,0,6,12439,269.73,2021-07-21
66123,0,0,5,12,8,3942,2,0,6,12839,506.71,2021-07-21
66125,0,0,3,11,8,4023,1,0,6,12840,86.16,2021-07-21
66126,0,0,6,10,2,1898,1,0,6,10873,1172.6,2021-07-21
66127,0,3,6,10,2,3413,1,0,6,10873,260.11,2021-07-21
66128,0,0,6,10,8,807,1,0,6,11068,342.33,2021-07-21
66129,0,0,5,12,27,1931,1,0,6,9553,252.05,2021-07-21
66130,0,2,6,10,11,3930,0,0,6,12821,168.36,2021-07-21
66132,0,0,5,12,8,3922,0,0,6,530,217.67,2021-07-21
66133,0,0,3,11,27,3768,0,0,6,12755,191.64,2021-07-21
66134,0,0,3,11,27,4102,2,0,6,12755,390.41,2021-07-21
66135,0,0,0,9,8,3766,2,0,6,12576,566.99,2021-07-21
66137,0,0,5,12,8,3959,2,0,6,12841,68.36,2021-07-21
66138,0,0,5,12,8,3775,2,0,6,12841,72.47,2021-07-21
66139,0,2,3,11,8,3818,0,0,6,12841,540.96,2021-07-21
66140,0,2,3,11,8,185,1,0,6,12841,540.96,2021-07-21
66141,0,2,6,10,8,150,1,0,6,12841,342.33,2021-07-21
66142,0,0,3,11,8,4414,1,0,6,1281,239.59,2021-07-21
66143,0,0,0,9,8,1495,1,0,6,5568,487.53,2021-07-21
66145,0,0,0,9,8,2606,1,0,6,1458,186.18,2021-07-21
66146,0,0,5,12,12,3894,0,0,6,12691,68.36,2021-07-21
66148,0,0,3,11,8,1080,1,0,6,9055,219.04,2021-07-21
66150,0,0,3,11,12,1630,0,0,6,12844,216.23,2021-07-21
66151,0,0,6,10,23,4128,1,0,6,277,527.26,2021-07-21
66152,0,0,6,10,8,3841,2,0,6,12753,349.18,2021-07-21
66153,0,0,6,10,8,3592,1,0,6,8800,390.27,2021-07-21
66154,0,0,6,10,8,3592,1,0,6,8800,390.27,2021-07-21
66155,0,0,1,14,11,609,2,0,6,8289,540.96,2021-07-21
66156,0,0,6,10,27,373,2,0,6,12825,191.64,2021-07-21
66157,0,0,6,10,27,373,2,0,6,12825,191.64,2021-07-21
66158,0,2,5,12,8,591,1,0,6,2516,684.79,2021-07-21
66159,0,0,3,11,11,1632,0,0,6,5946,208.08,2021-07-21
66160,0,2,6,10,14,1409,0,0,6,8748,890.27,2021-07-21
66161,0,0,6,10,8,3905,0,0,6,9138,671.1,2021-07-21
66162,0,0,6,10,8,2321,2,0,6,10242,264.49,2021-07-21
66163,0,0,5,12,8,3851,2,0,6,10921,68.36,2021-07-21
66164,0,0,4,13,27,3375,0,0,6,12299,184.79,2021-07-21
66165,0,2,3,11,8,4064,1,0,6,4854,465.62,2021-07-21
66166,0,2,3,11,8,3880,0,0,6,4854,445.07,2021-07-21
66167,0,0,3,11,8,3770,2,0,6,12846,109.45,2021-07-21
66168,0,0,3,11,12,1630,0,0,6,10265,216.23,2021-07-21
66169,0,0,3,11,8,4096,2,0,6,12829,72.47,2021-07-21
66170,0,0,6,10,8,1045,0,0,6,10276,308.08,2021-07-21
66171,0,0,5,12,8,3059,2,0,6,12846,34.36,2021-07-21
66172,0,2,3,11,8,4061,1,0,6,4854,335.48,2021-07-21
66173,0,0,5,12,8,4070,2,0,6,12750,83.42,2021-07-21
66174,0,0,3,11,2,3938,2,0,6,12847,239.59,2021-07-21
66175,0,0,3,11,27,3768,0,0,6,12847,171.1,2021-07-21
66176,0,2,0,9,11,3981,0,0,6,12724,262.88,2021-07-21
66177,0,0,0,9,11,3803,0,0,6,12847,162.88,2021-07-21
66179,0,0,5,12,18,3884,2,0,6,12848,108.22,2021-07-21
66181,0,0,5,12,11,1925,0,0,6,12848,97.12,2021-07-21
66182,0,0,6,10,8,321,2,0,6,475,534.11,2021-07-21
66183,0,0,5,12,8,3999,1,0,6,475,493.56,2021-07-21
66184,0,2,3,11,23,4124,0,0,6,12847,403.97,2021-07-21
66185,0,0,3,11,27,3905,0,0,6,5503,342.33,2021-07-21
66186,0,0,3,11,8,3819,0,0,6,863,310.82,2021-07-21
66187,0,0,6,10,2,3916,2,0,6,12247,102.6,2021-07-21
66188,0,0,3,11,2,1594,0,0,6,12247,191.07,2021-07-21
66189,0,2,3,11,23,847,0,0,6,1612,308.08,2021-07-21
66190,0,2,3,11,8,3902,0,0,6,1612,397.12,2021-07-21
66191,0,2,3,11,23,1361,0,0,6,1612,335.48,2021-07-21
66192,0,0,3,11,2,1642,1,0,6,1209,356.14,2021-07-21
66193,0,0,3,11,27,1137,0,0,6,1209,390.27,2021-07-21
66195,0,0,3,11,18,527,1,0,6,1209,318.05,2021-07-21
66196,0,0,3,11,18,4019,2,0,6,1209,290.41,2021-07-21
66197,0,0,3,11,18,527,1,0,6,1209,318.05,2021-07-21
66199,0,0,3,11,27,1137,0,0,6,1209,390.27,2021-07-21
66200,0,0,3,11,18,4019,2,0,6,1209,290.41,2021-07-21
66201,0,0,6,10,8,3891,0,0,6,12849,273.84,2021-07-21
66202,0,0,3,11,8,3949,0,0,6,12849,335.48,2021-07-21
66203,0,0,3,11,8,3759,0,0,6,12829,410.82,2021-07-21
66204,0,0,5,12,8,3959,2,0,6,12829,68.36,2021-07-21
66205,0,0,5,12,11,4135,1,0,6,12613,73.84,2021-07-21
66206,0,0,5,12,11,2786,1,0,6,12613,102.6,2021-07-21
66207,0,0,5,12,8,3698,0,0,6,12849,131.37,2021-07-21
